Epoch 451, Loss: 0.03844226524233818, Accuracy: 98.64604187011719, Test Loss: 0.5268471240997314, Test Accuracy: 93.61603546142578
Epoch 461, Loss: 0.03760837763547897, Accuracy: 98.6754150390625, Test Loss: 0.5282150506973267, Test Accuracy: 93.63948822021484
Epoch 471, Loss: 0.03680989891290665, Accuracy: 98.70353698730469, Test Loss: 0.5295103192329407, Test Accuracy: 93.66194152832031
Epoch 481, Loss: 0.03604461997747421, Accuracy: 98.7304916381836, Test Loss: 0.5307427048683167, Test Accuracy: 93.68345642089844
Epoch 491, Loss: 0.03531051054596901, Accuracy: 98.75634002685547, Test Loss: 0.5319193601608276, Test Accuracy: 93.7041015625
Epoch 501, Loss: 0.034605711698532104, Accuracy: 98.78116607666016, Test Loss: 0.5330506563186646, Test Accuracy: 93.72391510009766
Saved model to disk
Epoch 511, Loss: 0.03392849490046501, Accuracy: 98.80502319335938, Test Loss: 0.5341425538063049, Test Accuracy: 93.74295806884766
Epoch 521, Loss: 0.033277276903390884, Accuracy: 98.82795715332031, Test Loss: 0.5351996421813965, Test Accuracy: 93.76126861572266
Epoch 531, Loss: 0.03265058621764183, Accuracy: 98.85002899169922, Test Loss: 0.5362271666526794, Test Accuracy: 93.77889251708984
Epoch 541, Loss: 0.03204706311225891, Accuracy: 98.87128448486328, Test Loss: 0.5372248291969299, Test Accuracy: 93.79586029052734
Epoch 551, Loss: 0.031465448439121246, Accuracy: 98.89176940917969, Test Loss: 0.538216233253479, Test Accuracy: 93.8156509399414
Epoch 561, Loss: 0.03090456686913967, Accuracy: 98.9115219116211, Test Loss: 0.5392355918884277, Test Accuracy: 93.8381118774414
Epoch 571, Loss: 0.030363330617547035, Accuracy: 98.93058776855469, Test Loss: 0.540266215801239, Test Accuracy: 93.85979461669922
Epoch 581, Loss: 0.029840726405382156, Accuracy: 98.94898986816406, Test Loss: 0.5413087010383606, Test Accuracy: 93.88072204589844
Epoch 591, Loss: 0.029335806146264076, Accuracy: 98.9667739868164, Test Loss: 0.5423752665519714, Test Accuracy: 93.90093994140625
Epoch 601, Loss: 0.028847690671682358, Accuracy: 98.98397064208984, Test Loss: 0.543472170829773, Test Accuracy: 93.92489624023438
Saved model to disk
Epoch 611, Loss: 0.028375551104545593, Accuracy: 99.00059509277344, Test Loss: 0.544592559337616, Test Accuracy: 93.9499282836914

Epoch 621, Loss: 0.02791861817240715, Accuracy: 99.01669311523438, Test Loss: 0.5457791090011597, Test Accuracy: 93.97415924072266
Epoch 631, Loss: 0.027476167306303978, Accuracy: 99.03227996826172, Test Loss: 0.5470535755157471, Test Accuracy: 93.99761962890625
Epoch 641, Loss: 0.027047522366046906, Accuracy: 99.04737854003906, Test Loss: 0.5484020709991455, Test Accuracy: 94.02034759521484
Epoch 651, Loss: 0.026632046326994896, Accuracy: 99.06200408935547, Test Loss: 0.5497753620147705, Test Accuracy: 94.0423812866211
Epoch 661, Loss: 0.026229139417409897, Accuracy: 99.0761947631836, Test Loss: 0.551173210144043, Test Accuracy: 94.0637435913086
Epoch 671, Loss: 0.025838244706392288, Accuracy: 99.0899658203125, Test Loss: 0.5526109933853149, Test Accuracy: 94.0799560546875
Epoch 681, Loss: 0.02545882761478424, Accuracy: 99.10332489013672, Test Loss: 0.5541079044342041, Test Accuracy: 94.0945816040039
Epoch 691, Loss: 0.02509039267897606, Accuracy: 99.11630249023438, Test Loss: 0.5556550025939941, Test Accuracy: 94.10877990722656
Epoch 701, Loss: 0.024732470512390137, Accuracy: 99.12890625, Test Loss: 0.5572793483734131, Test Accuracy: 94.12257385253906
Saved model to disk
Epoch 711, Loss: 0.024384615942835808, Accuracy: 99.14115905761719, Test Loss: 0.5590474009513855, Test Accuracy: 94.13544464111328
Epoch 721, Loss: 0.024046409875154495, Accuracy: 99.15306854248047, Test Loss: 0.5609642267227173, Test Accuracy: 94.14480590820312
Epoch 731, Loss: 0.023717457428574562, Accuracy: 99.16465759277344, Test Loss: 0.563017725944519, Test Accuracy: 94.15132904052734
Epoch 741, Loss: 0.023397384211421013, Accuracy: 99.17593383789062, Test Loss: 0.5651875138282776, Test Accuracy: 94.15460205078125
Epoch 751, Loss: 0.023085834458470345, Accuracy: 99.18690490722656, Test Loss: 0.5675796866416931, Test Accuracy: 94.15779113769531
Epoch 761, Loss: 0.03395429253578186, Accuracy: 98.98601531982422, Test Loss: 0.5734930038452148, Test Accuracy: 93.96627044677734
Epoch 771, Loss: 0.034077540040016174, Accuracy: 98.97980499267578, Test Loss: 0.5693995356559753, Test Accuracy: 93.95413208007812
Epoch 781, Loss: 0.03364439308643341, Accuracy: 98.99287414550781, Test Loss: 0.5647963881492615, Test Accuracy: 93.96461486816406
Epoch 791, Loss: 0.03321942687034607, Accuracy: 99.00559997558594, Test Loss: 0.5609675645828247, Test Accuracy: 93.98200988769531
