epoch,loss,accuracy,test_loss,test_accuracy
0,2.8264055252075195,6.902985095977783,2.7714929580688477,6.439393997192383
1,2.607220411300659,14.738805770874023,2.774815797805786,8.71212100982666
2,2.4307491779327393,24.813432693481445,2.7797486782073975,6.439393997192383
3,2.3230934143066406,28.917911529541016,2.793870687484741,6.439393997192383
4,2.222949504852295,32.08955383300781,2.8014588356018066,6.439393997192383
5,2.128415107727051,37.31343078613281,2.8290226459503174,6.439393997192383
6,2.062730550765991,42.91044616699219,2.857213020324707,6.439393997192383
7,1.9894272089004517,44.2164192199707,2.8755805492401123,6.439393997192383
8,1.933171033859253,41.23134231567383,2.923940896987915,6.439393997192383
9,1.8695780038833618,50.373138427734375,2.9660558700561523,6.439393997192383
10,1.807403564453125,51.49253463745117,3.0009679794311523,6.439393997192383
11,1.791673183441162,52.23880386352539,3.0771193504333496,6.439393997192383
12,1.7429583072662354,54.66417694091797,3.108577013015747,6.439393997192383
13,1.6445519924163818,59.14179229736328,3.152895927429199,6.439393997192383
14,1.6905125379562378,54.66417694091797,3.2502682209014893,6.439393997192383
15,1.5681861639022827,59.888057708740234,3.213109016418457,6.439393997192383
16,1.5513495206832886,62.126861572265625,3.3230807781219482,6.439393997192383
17,1.4946889877319336,62.5,3.3100545406341553,6.439393997192383
18,1.4800822734832764,64.55223846435547,3.3512775897979736,6.439393997192383
19,1.4278688430786133,65.85820770263672,3.299729347229004,6.439393997192383
20,1.4016653299331665,65.85820770263672,3.203458547592163,6.439393997192383
21,1.3710319995880127,66.0447769165039,3.3494229316711426,6.439393997192383
22,1.3277934789657593,70.33582305908203,3.0889599323272705,6.439393997192383
23,1.291698694229126,75.0,3.1355984210968018,6.439393997192383
24,1.2458198070526123,73.13432312011719,3.034832000732422,6.439393997192383
25,1.2412993907928467,73.13432312011719,2.789954662322998,7.196969509124756
