epoch,loss,accuracy,test_loss,test_accuracy
0,2.7220635414123535,23.0222225189209,14.522831916809082,10.189359664916992
1,2.338226079940796,33.333335876464844,3.4001996517181396,21.10009002685547
2,2.067159414291382,42.266666412353516,4.397964954376221,24.256086349487305
3,1.826722502708435,48.488887786865234,2.455256462097168,41.118125915527344
4,1.6218749284744263,54.577781677246094,4.732606410980225,25.157800674438477
5,1.4491006135940552,60.31110763549805,8.081061363220215,20.649232864379883
6,1.2654179334640503,65.42222595214844,5.0082221031188965,36.60955810546875
7,1.2159373760223389,65.11111450195312,1.8379040956497192,57.43913650512695
8,1.0438214540481567,71.86666870117188,3.312394857406616,44.454463958740234
9,0.9866973757743835,73.02222442626953,1.529557466506958,63.21009826660156
