epoch,loss,accuracy,test_loss,test_accuracy
0,1.2261559963226318,64.36567687988281,2.7711234092712402,9.469696998596191
10,0.03766682744026184,99.02985382080078,2.90140438079834,5.68181848526001
20,0.004777310881763697,99.94403076171875,3.1563053131103516,13.257575035095215
30,0.09444806724786758,97.31343078613281,1.0304325819015503,76.17424011230469
40,0.002025905530899763,99.9813461303711,0.18294064700603485,95.03787994384766
50,0.0002624703338369727,100.0,0.1416182667016983,96.06060028076172
60,0.00016486445383634418,100.0,0.13328127562999725,96.17424011230469
70,0.00012208589760120958,100.0,0.13133960962295532,96.36363220214844
80,9.38178418437019e-05,100.0,0.13352753221988678,96.4015121459961
90,9.05284468899481e-05,100.0,0.13010606169700623,96.59090423583984
100,6.119447061792016e-05,100.0,0.1316940188407898,96.28787994384766
110,5.7361503422725946e-05,100.0,0.13536281883716583,96.21212005615234
120,4.0934261051006615e-05,100.0,0.13327965140342712,96.51515197753906
130,3.6734287277795374e-05,100.0,0.1328594833612442,96.59090423583984
140,4.09820131608285e-05,100.0,0.13188455998897552,96.59090423583984
150,3.218228812329471e-05,100.0,0.1303512305021286,96.59090423583984
160,2.8690739782177843e-05,100.0,0.13027739524841309,96.59090423583984
170,2.198782931372989e-05,100.0,0.132119283080101,96.59090423583984
180,0.0001046014076564461,100.0,0.1351187527179718,96.25
190,4.099263605894521e-05,100.0,0.14209477603435516,96.17424011230469
