epoch, loss, accuracy, val_loss, val_accuracy
2, 1.5326951742172241, 53.21056365966797, 0.6737833023071289, 82.90868377685547
3, 0.7013236880302429, 73.05266571044922, 0.23032605648040771, 94.08045196533203
4, 0.46377894282341003, 80.57894897460938, 0.154702290892601, 96.44922637939453
5, 0.34077316522598267, 84.57894897460938, 0.1581985205411911, 96.9593276977539
6, 0.2886258363723755, 85.78948211669922, 0.16596241295337677, 97.39151000976562
7, 0.25842463970184326, 86.84210205078125, 0.1477852165699005, 97.65423583984375
8, 0.2181558459997177, 88.05264282226562, 0.14153434336185455, 98.00003814697266
9, 0.21402080357074738, 87.63158416748047, 0.15660712122917175, 98.07341003417969
10, 0.2099323868751526, 88.52633666992188, 0.15797632932662964, 98.04940032958984
11, 0.1885187327861786, 88.89476776123047, 0.1859780102968216, 98.11392211914062
12, 0.18888141214847565, 88.9473876953125, 0.21263131499290466, 98.03620910644531
13, 0.18138189613819122, 89.3158187866211, 0.20800566673278809, 98.23165893554688
14, 0.18391436338424683, 89.15792846679688, 0.19361084699630737, 98.31501007080078
15, 0.18511377274990082, 89.15792083740234, 0.24442629516124725, 98.16783905029297
16, 0.20076265931129456, 88.631591796875, 0.17479804158210754, 98.17278289794922
17, 0.1912701278924942, 88.73685455322266, 0.1802402138710022, 98.4354248046875
18, 0.18567518889904022, 89.21055603027344, 0.20975783467292786, 98.27120971679688
19, 0.17721155285835266, 89.36845397949219, 0.21029774844646454, 98.39073181152344
20, 0.17793899774551392, 89.26318359375, 0.24520616233348846, 98.25983428955078
21, 0.17954204976558685, 89.26319122314453, 0.22096075117588043, 98.25321197509766
