epoch, loss, accuracy, val_loss, val_accuracy
2, 1.0350693464279175, 71.13331604003906, 0.6019677519798279, 84.42923736572266
3, 0.2155088633298874, 90.13336181640625, 0.19846628606319427, 95.72016143798828
4, 0.11240822821855545, 93.1777572631836, 0.1921505481004715, 97.15453338623047
5, 0.08891184628009796, 94.01105499267578, 0.23098422586917877, 97.46104431152344
6, 0.07972745597362518, 94.377685546875, 0.2959524393081665, 97.45307922363281
7, 0.0789368599653244, 94.38877868652344, 0.3290803134441376, 97.6579360961914
8, 0.07733293622732162, 94.4443359375, 0.3632209300994873, 97.67478942871094
9, 0.07715477794408798, 94.4443359375, 0.3913570046424866, 97.64070129394531
10, 0.07712507992982864, 94.4443359375, 0.41610223054885864, 97.72760772705078
11, 0.07715431600809097, 94.4443359375, 0.4222415089607239, 97.64088439941406
12, 0.07868057489395142, 94.38878631591797, 0.4184595048427582, 97.56201171875
13, 0.08796658366918564, 94.11103057861328, 0.2913776636123657, 97.44784545898438
14, 0.07847264409065247, 94.38878631591797, 0.368960440158844, 97.59251403808594
15, 0.07787339389324188, 94.4332275390625, 0.3098498284816742, 97.72491455078125
16, 0.0777745395898819, 94.4110107421875, 0.3741532862186432, 97.66685485839844
17, 0.07904231548309326, 94.39990234375, 0.3095966577529907, 97.65863037109375
18, 0.07713770121335983, 94.4443359375, 0.38977569341659546, 97.851806640625
19, 0.07707946002483368, 94.4443359375, 0.4077107310295105, 97.87742614746094
20, 0.07703331112861633, 94.4443359375, 0.3899848163127899, 97.78985595703125
21, 0.08262572437524796, 94.2777099609375, 0.3429858684539795, 97.62340545654297
22, 0.07841683179140091, 94.422119140625, 0.38146939873695374, 97.57678985595703
23, 0.0801887959241867, 94.3443603515625, 0.48136481642723083, 97.66515350341797
