epoch, loss, accuracy, val_loss, val_accuracy
2, 1.0351587533950806, 71.0777587890625, 0.606252908706665, 84.3567886352539
3, 0.21604280173778534, 90.05558776855469, 0.19882802665233612, 95.76168823242188
4, 0.11327473819255829, 93.13331604003906, 0.19027720391750336, 97.17039489746094
5, 0.08897433429956436, 94.05548858642578, 0.2319229692220688, 97.44731903076172
6, 0.07991483062505722, 94.37767791748047, 0.2991728186607361, 97.36766052246094
7, 0.07831186056137085, 94.4110107421875, 0.32958099246025085, 97.63978576660156
8, 0.0775233581662178, 94.4443359375, 0.3366655707359314, 97.86942291259766
9, 0.0802508145570755, 94.3665771484375, 0.3481713533401489, 97.54751586914062
10, 0.08006204664707184, 94.31101989746094, 0.27239617705345154, 97.73159790039062
11, 0.0801810771226883, 94.3665771484375, 0.3446531593799591, 97.5463638305664
12, 0.07903069257736206, 94.377685546875, 0.39331236481666565, 97.69672393798828
13, 0.0783335417509079, 94.38878631591797, 0.3473359942436218, 97.55563354492188
14, 0.07718154788017273, 94.4443359375, 0.40377187728881836, 97.59650421142578
15, 0.07709861546754837, 94.4443359375, 0.425036758184433, 97.63896179199219
16, 0.07710478454828262, 94.4443359375, 0.4076836109161377, 97.67941284179688
17, 0.07705911993980408, 94.4443359375, 0.3947446644306183, 97.77196502685547
18, 0.07703735679388046, 94.4443359375, 0.37129145860671997, 97.91554260253906
19, 0.07703662663698196, 94.4443359375, 0.36771783232688904, 97.93939208984375
20, 0.0770227462053299, 94.4443359375, 0.38473883271217346, 97.77764892578125
21, 0.07704707980155945, 94.4443359375, 0.39037492871284485, 97.84274291992188
22, 0.07702724635601044, 94.4443359375, 0.4580516219139099, 97.90543365478516
23, 0.07702335715293884, 94.4443359375, 0.45517024397850037, 97.90824890136719
24, 0.07702063769102097, 94.4443359375, 0.46919649839401245, 97.93048095703125
25, 0.07701809704303741, 94.4443359375, 0.47435808181762695, 97.88436889648438
26, 0.07701951265335083, 94.4443359375, 0.4761948585510254, 97.89655303955078
27, 0.09152006357908249, 94.11105346679688, 0.4212990701198578, 97.662353515625
28, 0.08516079187393188, 94.15545654296875, 0.24485990405082703, 97.56866455078125
29, 0.07718115299940109, 94.4443359375, 0.32349708676338196, 97.69840240478516
30, 0.07709679752588272, 94.4443359375, 0.3278770446777344, 97.74810791015625
31, 0.07707430422306061, 94.4443359375, 0.3430936932563782, 97.71575927734375
32, 0.07703548669815063, 94.4443359375, 0.38191547989845276, 97.70360565185547
33, 0.0770779401063919, 94.4443359375, 0.37411215901374817, 97.68502044677734
34, 0.07704556733369827, 94.4443359375, 0.3695581257343292, 97.75215911865234
35, 0.07709191739559174, 94.4443359375, 0.4144434928894043, 97.86216735839844
36, 0.07702480256557465, 94.4443359375, 0.434190034866333, 97.8585205078125
37, 0.07704304903745651, 94.4443359375, 0.45406046509742737, 97.83544921875
38, 0.07725898176431656, 94.4443359375, 0.45365968346595764, 97.65467071533203
39, 0.07725840061903, 94.4443359375, 0.41130825877189636, 97.67007446289062
40, 0.07789435982704163, 94.3887939453125, 0.4112055003643036, 97.68624877929688
41, 0.08311478793621063, 94.23324584960938, 0.3619730472564697, 97.58356475830078
42, 0.0778956413269043, 94.41100311279297, 0.3969961404800415, 97.7703857421875
43, 0.08260253071784973, 94.29991149902344, 0.34778815507888794, 97.47635650634766
44, 0.07830224186182022, 94.39989471435547, 0.2937341034412384, 98.08174133300781
45, 0.07723888754844666, 94.4332275390625, 0.3278542459011078, 98.13668060302734
46, 0.07708124816417694, 94.4443359375, 0.3148597776889801, 98.09138488769531
47, 0.07702680677175522, 94.4443359375, 0.3075591027736664, 98.07563018798828
48, 0.07702389359474182, 94.4443359375, 0.3249317705631256, 98.11041259765625
49, 0.07703012228012085, 94.4443359375, 0.32798507809638977, 98.12860870361328
50, 0.07702180743217468, 94.4443359375, 0.32322368025779724, 98.13426971435547
51, 0.07702263444662094, 94.4443359375, 0.33042797446250916, 98.19088745117188
52, 0.0770178884267807, 94.4443359375, 0.3389228582382202, 98.19165802001953
53, 0.07702743262052536, 94.4443359375, 0.3362133800983429, 98.1650161743164
54, 0.07702264934778214, 94.4443359375, 0.3375369608402252, 98.17996978759766
55, 0.07701852172613144, 94.4443359375, 0.34834471344947815, 98.1953125
56, 0.07701760530471802, 94.4443359375, 0.339539498090744, 98.22119140625
57, 0.0770420953631401, 94.4443359375, 0.35685238242149353, 98.20905303955078
58, 0.07702000439167023, 94.4443359375, 0.4055246412754059, 98.14154815673828
59, 0.07701683044433594, 94.4443359375, 0.4093623459339142, 98.17630767822266
60, 0.07701672613620758, 94.4443359375, 0.4085618257522583, 98.17511749267578
61, 0.07701686024665833, 94.4443359375, 0.40644147992134094, 98.15528106689453
62, 0.07702206075191498, 94.4443359375, 0.4090445041656494, 98.17591857910156
63, 0.0770169273018837, 94.4443359375, 0.4123208522796631, 98.19815063476562
64, 0.07701662182807922, 94.4443359375, 0.37943175435066223, 98.25879669189453
65, 0.07701680064201355, 94.4443359375, 0.38910630345344543, 98.26807403564453
66, 0.07701677083969116, 94.4443359375, 0.39594975113868713, 98.23454284667969
67, 0.07701649516820908, 94.4443359375, 0.39687809348106384, 98.2208023071289
68, 0.07701721787452698, 94.4443359375, 0.38781002163887024, 98.24504852294922
69, 0.07701695710420609, 94.4443359375, 0.3994417190551758, 98.25677490234375
70, 0.07701663672924042, 94.4443359375, 0.4069918990135193, 98.21795654296875
71, 0.07701723277568817, 94.4443359375, 0.3969835937023163, 98.20745849609375
